epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.2331,1.72143,2.81447,1.7241,0.45576,0.43842,0.40982,0.18477,1.94812,2.50637,2.27098,0.000415722,0.000415722,0.000415722
2,169.917,1.71233,2.14754,1.72533,0.53678,0.56138,0.55747,0.27448,1.75917,2.11921,1.96046,0.000811787,0.000811787,0.000811787
3,257.684,1.68143,1.86449,1.68561,0.52812,0.5879,0.53828,0.25446,1.87742,1.78493,2.12759,0.00118723,0.00118723,0.00118723
4,343.85,1.66626,1.71649,1.65449,0.6534,0.60309,0.62571,0.32712,1.67343,1.44039,1.85144,0.00115719,0.00115719,0.00115719
5,432.371,1.63122,1.62593,1.63722,0.70591,0.57001,0.63562,0.32747,1.69603,1.455,1.89135,0.00112625,0.00112625,0.00112625
6,510.013,1.58304,1.54493,1.6105,0.83066,0.57733,0.65783,0.33419,1.71737,1.4048,1.90336,0.00109531,0.00109531,0.00109531
7,587.203,1.54305,1.48852,1.59221,0.62165,0.64112,0.64371,0.33997,1.63057,1.36021,1.79469,0.00106437,0.00106437,0.00106437
8,658.804,1.52892,1.43893,1.5662,0.7374,0.64287,0.70082,0.38693,1.62602,1.25815,1.78179,0.00103344,0.00103344,0.00103344
9,729.321,1.5116,1.40697,1.55657,0.72121,0.6051,0.68871,0.38256,1.52636,1.29399,1.73135,0.0010025,0.0010025,0.0010025
10,802.049,1.50936,1.38104,1.54987,0.66669,0.69789,0.71569,0.40886,1.53577,1.26266,1.73196,0.000971562,0.000971562,0.000971562
11,874.874,1.49059,1.35235,1.5362,0.83706,0.63252,0.70277,0.38467,1.56996,1.25535,1.75775,0.000940625,0.000940625,0.000940625
12,947.388,1.44166,1.31346,1.51326,0.71378,0.73454,0.73903,0.4249,1.50251,1.11004,1.67544,0.000909688,0.000909688,0.000909688
13,1019.8,1.43259,1.27669,1.49663,0.73425,0.7089,0.74702,0.41092,1.5523,1.08925,1.7172,0.00087875,0.00087875,0.00087875
14,1090.52,1.43374,1.24173,1.48292,0.79516,0.69283,0.75882,0.44488,1.47489,1.06584,1.65119,0.000847813,0.000847813,0.000847813
15,1169.58,1.43072,1.24599,1.49601,0.76596,0.73443,0.77354,0.45038,1.4922,1.0817,1.65804,0.000816875,0.000816875,0.000816875
16,1253.15,1.39383,1.19868,1.4763,0.70951,0.74544,0.7582,0.43552,1.47495,1.06873,1.64254,0.000785938,0.000785938,0.000785938
17,1330.02,1.38807,1.19248,1.47293,0.75281,0.73133,0.76272,0.43043,1.48571,1.07273,1.6763,0.000755,0.000755,0.000755
18,1408.75,1.37687,1.13491,1.44893,0.79682,0.74156,0.78289,0.46305,1.42382,1.0292,1.62261,0.000724062,0.000724062,0.000724062
19,1487.16,1.36588,1.14304,1.45749,0.8245,0.73274,0.79084,0.45553,1.47898,1.00536,1.64476,0.000693125,0.000693125,0.000693125
20,1566.89,1.36453,1.11472,1.43896,0.76545,0.76878,0.78714,0.47351,1.43409,0.97372,1.61885,0.000662188,0.000662188,0.000662188
